Microservice hashing throughput vs. worker process timer interval,SHA-512 hashing throughput (64-B hashes/s)
Requested time quantum (us),Handling SIGALRM at that rate,Baseline (no SIGALRM configured)
--set_marker,.,
3,1425070.69565217391304347826,2773822.26086956521739130434
4,1637827.80000000000000000000,2773822.26086956521739130434
5,1926353.23529411764705882352,2773822.26086956521739130434
6,2079005.50000000000000000000,2773822.26086956521739130434
7,2186392.26666666666666666666,2773822.26086956521739130434
8,2165855.93333333333333333333,2773822.26086956521739130434
9,2114829.93333333333333333333,2773822.26086956521739130434
10,2356465.62962962962962962962,2773822.26086956521739130434
11,2378025.25925925925925925925,2773822.26086956521739130434
12,2393379.48148148148148148148,2773822.26086956521739130434
13,2430367.69230769230769230769,2773822.26086956521739130434
14,2503794.15384615384615384615,2773822.26086956521739130434
15,2446162.00000000000000000000,2773822.26086956521739130434
16,2532093.84615384615384615384,2773822.26086956521739130434
17,2494102.07692307692307692307,2773822.26086956521739130434
18,2458297.84615384615384615384,2773822.26086956521739130434
19,2481616.61538461538461538461,2773822.26086956521739130434
20,2421557.23076923076923076923,2773822.26086956521739130434
21,2528129.68000000000000000000,2773822.26086956521739130434
22,2517149.00000000000000000000,2773822.26086956521739130434
23,2621000.91666666666666666666,2773822.26086956521739130434
24,2592217.76000000000000000000,2773822.26086956521739130434
25,2463040.53846153846153846153,2773822.26086956521739130434
26,2604141.08333333333333333333,2773822.26086956521739130434
27,2612212.48000000000000000000,2773822.26086956521739130434
28,2680091.91666666666666666666,2773822.26086956521739130434
29,2452985.40740740740740740740,2773822.26086956521739130434
30,2557490.08000000000000000000,2773822.26086956521739130434
31,2651141.91666666666666666666,2773822.26086956521739130434
32,2611963.76000000000000000000,2773822.26086956521739130434
33,2610977.83333333333333333333,2773822.26086956521739130434
34,2707117.75000000000000000000,2773822.26086956521739130434
35,2541151.52000000000000000000,2773822.26086956521739130434
36,2625736.66666666666666666666,2773822.26086956521739130434
37,2575281.84000000000000000000,2773822.26086956521739130434
38,2648397.50000000000000000000,2773822.26086956521739130434
39,2613412.96000000000000000000,2773822.26086956521739130434
40,2707058.50000000000000000000,2773822.26086956521739130434
41,2656630.00000000000000000000,2773822.26086956521739130434
42,2626520.00000000000000000000,2773822.26086956521739130434
43,2565325.60000000000000000000,2773822.26086956521739130434
44,2710615.16666666666666666666,2773822.26086956521739130434
45,2714984.66666666666666666666,2773822.26086956521739130434
46,2738079.50000000000000000000,2773822.26086956521739130434
47,2725660.00000000000000000000,2773822.26086956521739130434
48,2711039.08333333333333333333,2773822.26086956521739130434
49,2724338.00000000000000000000,2773822.26086956521739130434
50,2279579.00000000000000000000,2773822.26086956521739130434
51,2712478.58333333333333333333,2773822.26086956521739130434
52,2749625.58333333333333333333,2773822.26086956521739130434
53,2699191.08333333333333333333,2773822.26086956521739130434
54,2660781.91666666666666666666,2773822.26086956521739130434
55,2686389.58333333333333333333,2773822.26086956521739130434
56,2596332.56000000000000000000,2773822.26086956521739130434
57,2662763.33333333333333333333,2773822.26086956521739130434
58,2756539.75000000000000000000,2773822.26086956521739130434
59,2759551.33333333333333333333,2773822.26086956521739130434
60,2703676.00000000000000000000,2773822.26086956521739130434
61,2729155.66666666666666666666,2773822.26086956521739130434
62,2710436.25000000000000000000,2773822.26086956521739130434
63,2502393.92000000000000000000,2773822.26086956521739130434
64,2686115.75000000000000000000,2773822.26086956521739130434
65,2735852.08333333333333333333,2773822.26086956521739130434
66,2692888.41666666666666666666,2773822.26086956521739130434
67,2656040.00000000000000000000,2773822.26086956521739130434
68,2592372.48000000000000000000,2773822.26086956521739130434
69,2554471.20000000000000000000,2773822.26086956521739130434
70,2753264.16666666666666666666,2773822.26086956521739130434
71,2510846.23076923076923076923,2773822.26086956521739130434
72,2666710.41666666666666666666,2773822.26086956521739130434
73,2696484.16666666666666666666,2773822.26086956521739130434
74,2644921.36000000000000000000,2773822.26086956521739130434
75,2681341.75000000000000000000,2773822.26086956521739130434
